workerid,proliferate.condition,correct,response,result,rt,stimulus
101,English_Mandarin_some,,f,false_alarm,1341,audio/all.wav
101,English_Mandarin_some,,j,false_alarm,1789,audio/none.wav
101,English_Mandarin_some,,j,false_alarm,1880,audio/all.wav
101,English_Mandarin_some,,f,false_alarm,2280,audio/none.wav
109,English_Mandarin_some,,f,false_alarm,2133,audio/all.wav
109,English_Mandarin_some,,j,false_alarm,3296,audio/none.wav
109,English_Mandarin_some,,j,false_alarm,2443,audio/all.wav
109,English_Mandarin_some,,f,false_alarm,2720,audio/none.wav
114,English_Mandarin_some,,f,false_alarm,1683,audio/all.wav
114,English_Mandarin_some,,j,false_alarm,1271,audio/none.wav
114,English_Mandarin_some,,j,false_alarm,1376,audio/all.wav
114,English_Mandarin_some,,f,false_alarm,1573,audio/none.wav
105,English_Mandarin_some,,f,false_alarm,2931,audio/all.wav
105,English_Mandarin_some,,,false_alarm,NA,audio/none.wav
105,English_Mandarin_some,,j,false_alarm,2112,audio/all.wav
105,English_Mandarin_some,,f,false_alarm,2160,audio/none.wav
121,English_Mandarin_some,,,false_alarm,NA,audio/all.wav
121,English_Mandarin_some,,j,false_alarm,3860,audio/none.wav
121,English_Mandarin_some,,j,false_alarm,2276,audio/all.wav
121,English_Mandarin_some,,f,false_alarm,3466,audio/none.wav
104,Mandarin_English_summa,,f,false_alarm,2965,audio/suoyou.wav
104,Mandarin_English_summa,,j,false_alarm,2629,audio/meiyou.wav
104,Mandarin_English_summa,,j,false_alarm,3637,audio/suoyou.wav
104,Mandarin_English_summa,,f,false_alarm,1989,audio/meiyou.wav
117,Mandarin_English_summa,,f,false_alarm,1556,audio/suoyou.wav
117,Mandarin_English_summa,,j,false_alarm,1974,audio/meiyou.wav
117,Mandarin_English_summa,,j,false_alarm,2078,audio/suoyou.wav
117,Mandarin_English_summa,,f,false_alarm,1474,audio/meiyou.wav
100,Mandarin_English_summa,,f,false_alarm,1525,audio/suoyou.wav
100,Mandarin_English_summa,,j,false_alarm,1931,audio/meiyou.wav
100,Mandarin_English_summa,,j,false_alarm,1520,audio/suoyou.wav
100,Mandarin_English_summa,,f,false_alarm,1803,audio/meiyou.wav
108,Mandarin_English_summa,,f,false_alarm,611,audio/suoyou.wav
108,Mandarin_English_summa,,j,false_alarm,779,audio/meiyou.wav
108,Mandarin_English_summa,,j,false_alarm,1171,audio/suoyou.wav
108,Mandarin_English_summa,,f,false_alarm,1629,audio/meiyou.wav
113,Mandarin_English_summa,,f,false_alarm,1733,audio/suoyou.wav
113,Mandarin_English_summa,,j,false_alarm,1677,audio/meiyou.wav
113,Mandarin_English_summa,,j,false_alarm,1440,audio/suoyou.wav
113,Mandarin_English_summa,,f,false_alarm,1888,audio/meiyou.wav
112,English_Mandarin_summa,,f,false_alarm,1488,audio/all.wav
112,English_Mandarin_summa,,j,false_alarm,1211,audio/none.wav
112,English_Mandarin_summa,,j,false_alarm,1411,audio/all.wav
112,English_Mandarin_summa,,j,false_alarm,1480,audio/none.wav
107,English_Mandarin_summa,,,false_alarm,NA,audio/all.wav
107,English_Mandarin_summa,,,false_alarm,NA,audio/none.wav
107,English_Mandarin_summa,,,false_alarm,NA,audio/all.wav
107,English_Mandarin_summa,,,false_alarm,NA,audio/none.wav
119,English_Mandarin_summa,,f,false_alarm,2789,audio/all.wav
119,English_Mandarin_summa,,j,false_alarm,3856,audio/none.wav
119,English_Mandarin_summa,,j,false_alarm,1733,audio/all.wav
119,English_Mandarin_summa,,j,false_alarm,1419,audio/none.wav
103,English_Mandarin_summa,,f,false_alarm,1909,audio/all.wav
103,English_Mandarin_summa,,f,false_alarm,1781,audio/none.wav
103,English_Mandarin_summa,,j,false_alarm,1499,audio/all.wav
103,English_Mandarin_summa,,j,false_alarm,1480,audio/none.wav
106,Mandarin_English_some,,f,false_alarm,1851,audio/suoyou.wav
106,Mandarin_English_some,,j,false_alarm,1493,audio/meiyou.wav
106,Mandarin_English_some,,j,false_alarm,1328,audio/suoyou.wav
106,Mandarin_English_some,,f,false_alarm,2251,audio/meiyou.wav
115,Mandarin_English_some,,f,false_alarm,1291,audio/suoyou.wav
115,Mandarin_English_some,,j,false_alarm,2229,audio/meiyou.wav
115,Mandarin_English_some,,j,false_alarm,1581,audio/suoyou.wav
115,Mandarin_English_some,,f,false_alarm,1691,audio/meiyou.wav
102,Mandarin_English_some,,f,false_alarm,1152,audio/suoyou.wav
102,Mandarin_English_some,,j,false_alarm,1091,audio/meiyou.wav
102,Mandarin_English_some,,j,false_alarm,1419,audio/suoyou.wav
102,Mandarin_English_some,,f,false_alarm,1880,audio/meiyou.wav
110,Mandarin_English_some,,f,false_alarm,2357,audio/suoyou.wav
110,Mandarin_English_some,,j,false_alarm,1883,audio/meiyou.wav
110,Mandarin_English_some,,j,false_alarm,1541,audio/suoyou.wav
110,Mandarin_English_some,,f,false_alarm,1637,audio/meiyou.wav
